#厦大新闻学教授谈张雪峰言论#,Query time: 2023-12-24 15:21:59,likes
【文科生最青睐的十大专业】近日，引热议。十大文科专业及就业去向→①会计学：易就业，但供过于求，也易失业。②国经贸：全球经济一体化带来“第二春”。③法学：巨大法律市场待开发。④新闻学：网络媒体催生新机遇⑤英语：翻译领域高级人才稀缺， 【文科生最青睐的十大专业】近日，引热议。十大文科专业及就业去向→①会计学：易就业，但供过于求，也易失业。②国经贸：全球经济一体化带来“第二春”。③法学：巨大法律市场待开发。④新闻学：网络媒体催生新机遇⑤英语：翻译领域高级人才稀缺，不会失业。⑥物流管理：市场需求巨大，电子商务物流专业更紧俏。更多↓↓（人民日报）,2023-06-16 15:57,4
川大张同学也是新闻届的张雪峰舌战群儒的名场面说得很直白，一语道破985和普通大学的区别，张雪峰回应：并无针对任何人任何专业。,2023-06-16 14:13,458
如果只是新闻学差点意思，但是这个家长偏偏咨询的是四川大学的新闻学，热度拉满,2023-06-16 13:45,866
孩子理科590想报四川大学的新闻学，问张雪峰意见。张雪峰直接告诉家长，孩子实在想报就打晕然后给报个别的，闭着眼睛选都比新闻好。你们怎么看？,2023-06-16 13:10,12271
吵起来了！有个家长咨询张雪峰说孩子理科590想报四川大学的新闻学怎么样？张雪峰当时就急了，说闭着眼睛选一个都比新闻好。结果这个言论被重庆大学新闻学教授张小强怒怼，“千万别被网红忽悠，新闻专业能文能武”。你们觉得呢？吵起来了！有个家长咨询张雪峰说孩子理科590想报四川大学的新闻学怎么样？张雪峰当时就急了，说闭着眼睛选一个都比新闻好。结果这个言论被重庆大学新闻学教授张小强怒怼，“千万别被网红忽悠，新闻专业能文能武”。你们觉得呢？,2023-06-17 11:35,3288
针对张雪峰老师称孩子报考新闻学先把他打晕言论，厦门大学新闻学教授邹振东认为值得反思张雪峰提出的问题，却不要轻信他的结论，表示新闻传播专业不值得选，在逻辑上是有问题的。那么，张雪峰和邹振东的观点，你支持谁？,2023-06-18 23:59,394
是谁在天天踩新传 是谁天天吵着赶紧跑 那为什么考研分数线涨到400 那为什么新传考研年年上热搜 那为什么你在刷微博 ,2023-06-18 23:59,3
根据个人情况自由选择专业，不过我周围暂时没遇到有随便选专业的财力家庭，仔细回想，估计那就只有高一我们班的一个县城房地产家庭的女孩了。偶尔也在小红书抖音上看一下各行各业的就业情况，难免将会有表弟表妹询问，无非就是文科学汉语言准备考公？理工科就是电气自动化 根据个人情况自由选择专业，不过我周围暂时没遇到有随便选专业的财力家庭，仔细回想，估计那就只有高一我们班的一个县城房地产家庭的女孩了。偶尔也在小红书抖音上看一下各行各业的就业情况，难免将会有表弟表妹询问，无非就是文科学汉语言准备考公？理工科就是电气自动化，通信工程，网络信息啥的，其实还是建议报军校或者警官学院近年来，江苏警官学院的分数线也越来越高。几年前报志愿还是一学经济学的堂哥和学通信的堂哥商量着，一志愿徐医，原因是一堂哥觉得我打交道不太行，还是老老实实去医院吧，他们也觉得医生稳，南邮的哥有点想让我试试桂林电子科技大学的计算机，分数肯定够了，不过放在第二志愿，大概率是去不了了。目前计算机的行情是不是不太行了，如果我当时去了，就业估计也就在珠三角，可能目前也有可能失业了，不过目前来了放疗，我最大的难关就是能不能就业的问题了,2023-06-18 23:59,0
看起来教授和专家都蛮会利用自己“身份”的,2023-06-18 23:59,7
吵了几天，我只能说张雪峰就是普通人的鸡汤大师，为了好就业去选择当下所谓的“热门专业”，四年后毕业八成也是要后悔的…… ,2023-06-18 23:59,3
老徐说一下自己发现的一个现象，许多媒体人（其中很大一部分都是新闻相关，如记者和报刊新闻编辑等）都转行做电商，成功概率都很大，比如本来生活网创始人就是新京报和南都出来的，我还认识一个卖苹果电商的，之前也是做新闻的，后来卖苹果价格奇高但卖的很好，我的一个朋 老徐说一下自己发现的一个现象，许多媒体人（其中很大一部分都是新闻相关，如记者和报刊新闻编辑等）都转行做电商，成功概率都很大，比如本来生活网创始人就是新京报和南都出来的，我还认识一个卖苹果电商的，之前也是做新闻的，后来卖苹果价格奇高但卖的很好，我的一个朋友是国内头部海鲜电商创始人，也是从新闻工作出来的，现在农业题材的视频号，做的好的，有很大一部分都是媒体新闻专业毕业的……新闻学毕业的文笔一般都好，也擅长讲故事。,2023-06-18 23:58,14
支持张雪峰，他能帮很多普通人避雷。 ,2023-06-18 23:58,0
咱就是说俺们生化环材被吐槽了这么多年，也没啥教授站出来说不许贬低我们啊 ,2023-06-18 23:58,82
什么时候开始教授变得越来越不被大众们所信任了？这是好事还是坏事儿？人们是越来越理智了还是越来越感性了？ ,2023-06-18 23:58,0
都别报了，卷死我了,2023-06-18 23:58,0
有问题吗？？没问题吧 ,2023-06-18 23:58,0
当一束光照进铁塔，铁塔里的肮脏龌龊被显现，这束光便有了罪 ,2023-06-18 23:58,6
考研名师张雪峰，为何遭人民日报批评，真相令无数网友愤怒不已,2023-06-18 23:58,5
但凡是上过大学的，就会深刻感受到我们的教育体系就是个没有灵魂的躯壳而已，大家谁也改变不了什么，所以大家也不会出来再多说什么，体制内的人要站出来说点什么，也是显得很多余又尴尬的，不说点什么吧，也尴尬。 ,2023-06-18 23:57,4
【：值得反思张雪峰提出的问题，却不要轻信他的结论。】6月18日，针对称孩子报考新闻学先把他打晕言论，厦门大学新闻学教授发博：值得反思张雪峰提出的问题，却不要轻信他的结论。一个给排水专业毕业的自媒体人，他的粉丝比传播学的教授还要多，既要 【：值得反思张雪峰提出的问题，却不要轻信他的结论。】6月18日，针对称孩子报考新闻学先把他打晕言论，厦门大学新闻学教授发博：值得反思张雪峰提出的问题，却不要轻信他的结论。一个给排水专业毕业的自媒体人，他的粉丝比传播学的教授还要多，既要谦卑地承认这是现实，更要虚心地向人家学习，但由此得出新闻传播专业不值得选，在逻辑上是有问题的。,2023-06-18 23:57,1
为了满足中学时期那个过分“理想主义”的自己，也许我从来不知道路从哪里走，不要怪自己，你曾经夜夜那样梦想过。都是体验，随便吧。 ,2023-06-18 23:57,0
理想与现实… ,2023-06-18 23:57,0
我特别想学新传，很想报这个，现在高一，推荐吗,2023-06-18 23:56,2
学新传真的…家里没点钱不要学…… ,2023-06-18 23:55,2
