,text,time,labels
1,张雪峰谈人为什么要往上努力：目标驱动与逃离驱动。,2023-12-08 20:03,0
3,成功那有一蹴而就，都是努力的结果。,2023-12-09 06:00,0
5,张雪峰又道歉？所为何事？不过他是懂微博的精髓的，这组阴阳怪气的黄豆人表情用得是炉火纯青【更新：小伙伴提醒，他是说了刺激到了部分群体的敏感神经】,2023-12-09 11:55,0
6,【？】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，不少网友纷纷表示破防，还有一些网友称自己是理科生，但也是服务业。,2023-12-09 11:55,0
7,【你学的文科还是理科？】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。,2023-12-09 11:44,0
9,出来混，早晚要还，今天再加一天班,2023-12-09 11:05,0
11,回复:给你这结尾这句来个大大的赞！//:都是一样的，我是文科，只要找到工作，认真工作，努力工作就行，不然又被李佳琦喷不认真工作,2023-12-09 12:44,0
42,张雪峰老师最全面推荐专业总结，赶快收藏起来～,2023-12-09 12:10,0
44,【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 12:07,0
50,租房子的人没责任，消防的没责任，消防自己认定的火灾损失十一万元，消防让第三人赔偿火灾五十万元，你们把钱给分了，就剩下房主自己被烧毁的房子至今无人管！,2023-12-09 13:59,0
52,归根到底 现在有什么专业到最后不是归于服务业吗 ,2023-12-09 13:59,0
53,没说错 马德  姐天天上班上的想死 炒！！！！！ ,2023-12-09 13:59,0
55,难道理科生的工作不是为了给谁做项目吗好家伙，我们文科生没惹,2023-12-09 13:59,0
56,【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 13:59,0
57,都别往自己脸上贴金了，拿钱好好办事是当好服务人员的前提，不管是文科生还是理科生有多少人能真正做到？下面才是真正的服务业,2023-12-09 13:59,0
58,//://:高阳县消防要第三人赔偿五十万元，和文书不一致，不知问题出在哪里。,2023-12-09 13:59,0
59,其实专业真没那么限制，我纯文科生，现在工作是机械🤣 ,2023-12-09 13:59,0
61,其实也没说错，毕竟都是为人民服务嘛，还特意穿个带字的衣服来道歉，真是一如既往的幽默,2023-12-09 13:59,0
63,服务业怎么了，第三产业是不可或缺的一部分 ,2023-12-09 13:59,0
64,【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 13:59,0
67,我们是为人民服务的接班人！ ,2023-12-09 13:59,0
68,太对了一针见血一语中的 ,2023-12-09 13:59,0
70,不论文理 都是打工人罢了,2023-12-09 13:59,0
71,//://:高阳县消防要第三人赔偿五十万元，和文书不一致，不知问题出在哪里。,2023-12-09 13:59,0
73,莫管文理课，以后做了老师都是服务业,2023-12-09 13:59,0
77,土象真的好low好固执好武断好俗气好独断专行好控制狂，低阶星座会把土象这些特质当成“坚定、自信、有把握”，倔驴而已，谁靠近谁吃亏，听土象的你倒霉他们自己倒霉不说而已，再说了再倒霉不也有你陪衬。预约私信 ,2023-12-09 13:58,0
78,这不是很正常吗？考体制内不也是为人民服务吗格局打开xdm ,2023-12-09 13:58,0
82,哪一行的本质不是服务业？谁能举个例子 ,2023-12-09 13:58,0
83,看通透一点儿，走出象牙塔的打工人都能理解，毕竟都在为生活服务于各行各业…… 有为生活服务，有为人民服务，更有为全人类服务,2023-12-09 13:58,0
